run_id,companion,preference_tags,avoid_tags,num_places,score_validity,score_grounding,score_faithfulness,total_score,grade
1,연인(데이트),"역사,전통,고즈넉함,문화유적","낮활동,물놀이,사색",3,100.0,66.77,75.12,75.92,우수 (A)
2,혼자(솔로 여행),"미식,로컬맛집,야시장,지역먹거리","액티비티,번화가,쇼핑",3,100.0,76.73,75.12,80.9,우수 (A)
3,연인(데이트),"야경,야간나들이,전망,일몰/노을","도심,시끄러운곳,실내전시",3,100.0,80.27,100.0,90.14,매우 우수 (S)
4,친구들,"야경,야간나들이,전망,일몰/노을","낮활동,물놀이,사색",3,100.0,32.17,0.5,36.24,매우 부족 (D)
5,가족,"미식,로컬맛집,야시장,지역먹거리","도심,시끄러운곳,실내전시",3,100.0,98.65,100.0,99.32,매우 우수 (S)
